log_filename,with_data,log_loading_and_parsing_ms,log_indexing_ms,n_traces,n_acts,log_trace_average_length,log_trace_variance,most_frequent_trace_length,trace_length_frequency,atomization_conf,model_filename,queries_plan,operators_version,model_parsing_ms,model_size,model_data_decomposition_time,model_atomization_time,model_declare_to_ltlf,model_ltlf_query_time,is_multithreaded,no_threads,scheduling_strategy,atomization_type
data/testing/bpic_2012/data/original/bpi12_knobab.xes,T,1042.94,235.31,13087,25,21,399.223,140730445604944,140730445605752,scripts/maxsat_pipeline.yaml,M_1,marking,FastOperator_v1,0.593379,7,0.036331,0.008324,0.133062,37.8275,No,1,BLOCK_STATIC_SCHEDULE,AtomizeOnlyOnDataPredicates
data/testing/bpic_2012/data/original/bpi12_knobab.xes,T,976.18,243.271,13087,25,21,399.223,140730445604944,140730445605752,scripts/maxsat_pipeline.yaml,M_1,marking,FastOperator_v1,0.167965,7,0.059073,0.008482,0.14795,34.0381,No,1,BLOCK_STATIC_SCHEDULE,AtomizeOnlyOnDataPredicates
data/testing/bpic_2012/data/original/bpi12_knobab.xes,T,1008.22,243.522,13087,25,21,399.223,140730445604944,140730445605752,scripts/maxsat_pipeline.yaml,M_1,marking,FastOperator_v1,0.162455,7,0.028635,0.02744,0.146191,33.959,No,1,BLOCK_STATIC_SCHEDULE,AtomizeOnlyOnDataPredicates
data/testing/bpic_2012/data/original/bpi12_knobab.xes,T,999.404,238.476,13087,25,21,399.223,140730445604944,140730445605752,scripts/maxsat_pipeline.yaml,M_1,marking,FastOperator_v1,0.160594,7,0.030534,0.009835,0.148076,33.6925,No,1,BLOCK_STATIC_SCHEDULE,AtomizeOnlyOnDataPredicates
data/testing/bpic_2012/data/original/bpi12_knobab.xes,T,958.226,240.901,13087,25,21,399.223,140730445604944,140730445605752,scripts/maxsat_pipeline.yaml,M_1,marking,FastOperator_v1,0.154414,7,0.029936,0.008458,0.145612,34.4664,No,1,BLOCK_STATIC_SCHEDULE,AtomizeOnlyOnDataPredicates
data/testing/bpic_2012/data/original/bpi12_knobab.xes,T,1058.31,243.668,13087,25,21,399.223,140721110267744,140721110268552,scripts/maxsat_pipeline.yaml,M_1,marking,FastOperator_v1,0.591829,7,0.032457,0.008378,0.141469,39.7873,No,1,BLOCK_STATIC_SCHEDULE,AtomizaeEverythingIfDataPredicate
data/testing/bpic_2012/data/original/bpi12_knobab.xes,T,1117.24,261.921,13087,25,21,399.223,140721110267744,140721110268552,scripts/maxsat_pipeline.yaml,M_1,marking,FastOperator_v1,0.174206,7,0.030423,0.00788,0.156119,37.6058,No,1,BLOCK_STATIC_SCHEDULE,AtomizaeEverythingIfDataPredicate
data/testing/bpic_2012/data/original/bpi12_knobab.xes,T,1041.22,269.512,13087,25,21,399.223,140721110267744,140721110268552,scripts/maxsat_pipeline.yaml,M_1,marking,FastOperator_v1,0.178866,7,0.079905,0.009644,0.156722,40.1655,No,1,BLOCK_STATIC_SCHEDULE,AtomizaeEverythingIfDataPredicate
data/testing/bpic_2012/data/original/bpi12_knobab.xes,T,1073.5,254.989,13087,25,21,399.223,140721110267744,140721110268552,scripts/maxsat_pipeline.yaml,M_1,marking,FastOperator_v1,0.172311,7,0.032468,0.008358,0.158149,37.1965,No,1,BLOCK_STATIC_SCHEDULE,AtomizaeEverythingIfDataPredicate
data/testing/bpic_2012/data/original/bpi12_knobab.xes,T,1010.22,240.502,13087,25,21,399.223,140721110267744,140721110268552,scripts/maxsat_pipeline.yaml,M_1,marking,FastOperator_v1,0.158583,7,0.029837,0.008642,0.158627,35.7343,No,1,BLOCK_STATIC_SCHEDULE,AtomizaeEverythingIfDataPredicate
