n_traces,model_filename,mode_size,atomization_conf,execution_time,failure
1000,NotSuccession,25,SQLMiner + Support,602406.552,
1000,NotSuccession,25,SQLMiner + Support,602705.833,
1000,NotSuccession,25,SQLMiner + Support,614012.107,
1000,NotSuccession,25,SQLMiner + Support,604646.006,
1000,NotSuccession,25,SQLMiner + Support,602361.982,
1000,Precedence,25,SQLMiner + Support,731.244,
1000,Precedence,25,SQLMiner + Support,670.635,
1000,Precedence,25,SQLMiner + Support,688.001,
1000,Precedence,25,SQLMiner + Support,676.027,
1000,Precedence,25,SQLMiner + Support,659.685,
1000,RespondedExistence,25,SQLMiner + Support,518.356,
1000,RespondedExistence,25,SQLMiner + Support,459.904,
1000,RespondedExistence,25,SQLMiner + Support,458.885,
1000,RespondedExistence,25,SQLMiner + Support,459.951,
1000,RespondedExistence,25,SQLMiner + Support,460.925,
1000,Response,25,SQLMiner + Support,744.797,
1000,Response,25,SQLMiner + Support,691.464,
1000,Response,25,SQLMiner + Support,660.628,
1000,Response,25,SQLMiner + Support,668.586,
1000,Response,25,SQLMiner + Support,649.945,
1000,AltPrecedence,25,SQLMiner + TraceInfo,625011.359,
1000,AltPrecedence,25,SQLMiner + TraceInfo,619300.405,
1000,AltPrecedence,25,SQLMiner + TraceInfo,625240.381,
1000,AltPrecedence,25,SQLMiner + TraceInfo,653807.04,
1000,AltPrecedence,25,SQLMiner + TraceInfo,616630.389,
1000,AltResponse,25,SQLMiner + TraceInfo,18056899.495,
1000,AltResponse,25,SQLMiner + TraceInfo,18125615.304,
1000,AltResponse,25,SQLMiner + TraceInfo,17611652.422,
1000,AltResponse,25,SQLMiner + TraceInfo,17360936.549,
1000,AltResponse,25,SQLMiner + TraceInfo,17407786.28,
1000,ChainPrecedence,25,SQLMiner + TraceInfo,552999.149,
1000,ChainPrecedence,25,SQLMiner + TraceInfo,569841.383,
1000,ChainPrecedence,25,SQLMiner + TraceInfo,590637.16,
1000,ChainPrecedence,25,SQLMiner + TraceInfo,696035.621,
1000,ChainPrecedence,25,SQLMiner + TraceInfo,692239.812,
1000,ChainResponse,25,SQLMiner + TraceInfo,19351961.917,
1000,ChainResponse,25,SQLMiner + TraceInfo,18196108.195,
1000,ChainResponse,25,SQLMiner + TraceInfo,18176108.225,
1000,ChainResponse,25,SQLMiner + TraceInfo,19090893.725,
1000,ChainResponse,25,SQLMiner + TraceInfo,16681291.94,
1000,NotSuccession,25,SQLMiner + TraceInfo,277895.42,
1000,NotSuccession,25,SQLMiner + TraceInfo,247011.418,
1000,NotSuccession,25,SQLMiner + TraceInfo,242171.419,
1000,NotSuccession,25,SQLMiner + TraceInfo,241393.482,
1000,NotSuccession,25,SQLMiner + TraceInfo,240598.635,
1000,Precedence,25,SQLMiner + TraceInfo,249639.84,
1000,Precedence,25,SQLMiner + TraceInfo,243513.453,
1000,Precedence,25,SQLMiner + TraceInfo,243459.331,
1000,Precedence,25,SQLMiner + TraceInfo,243653.525,
1000,Precedence,25,SQLMiner + TraceInfo,245157.009,
1000,RespondedExistence,25,SQLMiner + TraceInfo,247212.01,
1000,RespondedExistence,25,SQLMiner + TraceInfo,248544.574,
1000,RespondedExistence,25,SQLMiner + TraceInfo,245220.501,
1000,RespondedExistence,25,SQLMiner + TraceInfo,246580.168,
1000,RespondedExistence,25,SQLMiner + TraceInfo,251141.309,
1000,Response,25,SQLMiner + TraceInfo,834320.026,
1000,Response,25,SQLMiner + TraceInfo,837043.004,
1000,Response,25,SQLMiner + TraceInfo,830664.017,
1000,Response,25,SQLMiner + TraceInfo,833602.3,
1000,Response,25,SQLMiner + TraceInfo,830895.531,
