n_traces,model_filename,model_size,atomization_conf,execution_time,failure
10,AltPrecedence,25,SQLMiner + Support,5809.761,
10,AltPrecedence,25,SQLMiner + Support,5663.574,
10,AltPrecedence,25,SQLMiner + Support,5729.979,
10,AltPrecedence,25,SQLMiner + Support,5672.936,
10,AltPrecedence,25,SQLMiner + Support,5617.718,
10,AltResponse,25,SQLMiner + Support,5688.983,
10,AltResponse,25,SQLMiner + Support,5648.044,
10,AltResponse,25,SQLMiner + Support,5638.804,
10,AltResponse,25,SQLMiner + Support,5636.776,
10,AltResponse,25,SQLMiner + Support,5620.354,
10,ChainPrecedence,25,SQLMiner + Support,4797.212,
10,ChainPrecedence,25,SQLMiner + Support,4742.47,
10,ChainPrecedence,25,SQLMiner + Support,4747.159,
10,ChainPrecedence,25,SQLMiner + Support,4727.549,
10,ChainPrecedence,25,SQLMiner + Support,4724.639,
10,ChainResponse,25,SQLMiner + Support,6172.969,
10,ChainResponse,25,SQLMiner + Support,6158.432,
10,ChainResponse,25,SQLMiner + Support,6064.635,
10,ChainResponse,25,SQLMiner + Support,6038.192,
10,ChainResponse,25,SQLMiner + Support,6099.111,
10,NotSuccession,25,SQLMiner + Support,429.081,
10,NotSuccession,25,SQLMiner + Support,425.613,
10,NotSuccession,25,SQLMiner + Support,428.038,
10,NotSuccession,25,SQLMiner + Support,430.327,
10,NotSuccession,25,SQLMiner + Support,440.368,
10,Precedence,25,SQLMiner + Support,23.11,
10,Precedence,25,SQLMiner + Support,22.606,
10,Precedence,25,SQLMiner + Support,22.194,
10,Precedence,25,SQLMiner + Support,22.706,
10,Precedence,25,SQLMiner + Support,22.772,
10,RespondedExistence,25,SQLMiner + Support,8.446,
10,RespondedExistence,25,SQLMiner + Support,7.253,
10,RespondedExistence,25,SQLMiner + Support,8.037,
10,RespondedExistence,25,SQLMiner + Support,7.308,
10,RespondedExistence,25,SQLMiner + Support,7.375,
10,Response,25,SQLMiner + Support,10.256,
10,Response,25,SQLMiner + Support,10.097,
10,Response,25,SQLMiner + Support,9.769,
10,Response,25,SQLMiner + Support,10.906,
10,Response,25,SQLMiner + Support,10.992,
10,AltPrecedence,25,SQLMiner + TraceInfo,586.314,
10,AltPrecedence,25,SQLMiner + TraceInfo,540.278,
10,AltPrecedence,25,SQLMiner + TraceInfo,531.485,
10,AltPrecedence,25,SQLMiner + TraceInfo,530.317,
10,AltPrecedence,25,SQLMiner + TraceInfo,529.968,
10,AltResponse,25,SQLMiner + TraceInfo,1125.862,
10,AltResponse,25,SQLMiner + TraceInfo,1057.819,
10,AltResponse,25,SQLMiner + TraceInfo,1057.698,
10,AltResponse,25,SQLMiner + TraceInfo,1078.683,
10,AltResponse,25,SQLMiner + TraceInfo,1068.098,
10,ChainPrecedence,25,SQLMiner + TraceInfo,518.128,
10,ChainPrecedence,25,SQLMiner + TraceInfo,464.05,
10,ChainPrecedence,25,SQLMiner + TraceInfo,467.16,
10,ChainPrecedence,25,SQLMiner + TraceInfo,463.226,
10,ChainPrecedence,25,SQLMiner + TraceInfo,465.689,
10,ChainResponse,25,SQLMiner + TraceInfo,1139.362,
10,ChainResponse,25,SQLMiner + TraceInfo,1076.36,
10,ChainResponse,25,SQLMiner + TraceInfo,1080.128,
10,ChainResponse,25,SQLMiner + TraceInfo,1084.176,
10,ChainResponse,25,SQLMiner + TraceInfo,1077.566,
10,NotSuccession,25,SQLMiner + TraceInfo,528.614,
10,NotSuccession,25,SQLMiner + TraceInfo,461.522,
10,NotSuccession,25,SQLMiner + TraceInfo,461.336,
10,NotSuccession,25,SQLMiner + TraceInfo,463.101,
10,NotSuccession,25,SQLMiner + TraceInfo,463.393,
10,Precedence,25,SQLMiner + TraceInfo,378.899,
10,Precedence,25,SQLMiner + TraceInfo,324.898,
10,Precedence,25,SQLMiner + TraceInfo,323.111,
10,Precedence,25,SQLMiner + TraceInfo,326.468,
10,Precedence,25,SQLMiner + TraceInfo,326.194,
10,RespondedExistence,25,SQLMiner + TraceInfo,437.792,
10,RespondedExistence,25,SQLMiner + TraceInfo,381.454,
10,RespondedExistence,25,SQLMiner + TraceInfo,382.287,
10,RespondedExistence,25,SQLMiner + TraceInfo,381.975,
10,RespondedExistence,25,SQLMiner + TraceInfo,383.562,
10,Response,25,SQLMiner + TraceInfo,593.563,
10,Response,25,SQLMiner + TraceInfo,538.735,
10,Response,25,SQLMiner + TraceInfo,536.313,
10,Response,25,SQLMiner + TraceInfo,539.185,
10,Response,25,SQLMiner + TraceInfo,537.191,
