n_traces,model_filename,atomization_conf,query_time
10,ChainResponse25,SQLMiner + Support,6053.509
10,ChainResponse25,SQLMiner + Support,6056.437
10,ChainResponse25,SQLMiner + Support,6073.628
10,ChainResponse25,SQLMiner + Support,6031.926
10,ChainResponse25,SQLMiner + Support,6055.692
10,AltResponse25,SQLMiner + TraceInfo,882.284
10,AltResponse25,SQLMiner + TraceInfo,876.28
10,AltResponse25,SQLMiner + TraceInfo,876.258
10,AltResponse25,SQLMiner + TraceInfo,881.338
10,AltResponse25,SQLMiner + TraceInfo,884.22
10,RespondedExistence25,SQLMiner + TraceInfo,300.572
10,RespondedExistence25,SQLMiner + TraceInfo,302.613
10,RespondedExistence25,SQLMiner + TraceInfo,307.628
10,RespondedExistence25,SQLMiner + TraceInfo,306.791
10,RespondedExistence25,SQLMiner + TraceInfo,305.818
10,Response25,SQLMiner + TraceInfo,443.487
10,Response25,SQLMiner + TraceInfo,443.703
10,Response25,SQLMiner + TraceInfo,441.904
10,Response25,SQLMiner + TraceInfo,442.318
10,Response25,SQLMiner + TraceInfo,442.869
10,Response25,SQLMiner + Support,7.185
10,Response25,SQLMiner + Support,7.116
10,Response25,SQLMiner + Support,7.098
10,Response25,SQLMiner + Support,7.113
10,Response25,SQLMiner + Support,7.118
10,ChainPrecedence25,SQLMiner + TraceInfo,385.62
10,ChainPrecedence25,SQLMiner + TraceInfo,386.046
10,ChainPrecedence25,SQLMiner + TraceInfo,381.487
10,ChainPrecedence25,SQLMiner + TraceInfo,379.747
10,ChainPrecedence25,SQLMiner + TraceInfo,383.057
10,AltResponse25,SQLMiner + Support,5604.889
10,AltResponse25,SQLMiner + Support,5604.424
10,AltResponse25,SQLMiner + Support,5599.09
10,AltResponse25,SQLMiner + Support,5587.891
10,AltResponse25,SQLMiner + Support,5603.109
10,AltPrecedence25,SQLMiner + TraceInfo,439.154
10,AltPrecedence25,SQLMiner + TraceInfo,439.246
10,AltPrecedence25,SQLMiner + TraceInfo,437.534
10,AltPrecedence25,SQLMiner + TraceInfo,438.333
10,AltPrecedence25,SQLMiner + TraceInfo,437.147
10,RespondedExistence25,SQLMiner + Support,6.585
10,RespondedExistence25,SQLMiner + Support,6.558
10,RespondedExistence25,SQLMiner + Support,6.439
10,RespondedExistence25,SQLMiner + Support,6.526
10,RespondedExistence25,SQLMiner + Support,6.575
10,ChainPrecedence25,SQLMiner + Support,6124.506
10,ChainPrecedence25,SQLMiner + Support,6103.642
10,ChainPrecedence25,SQLMiner + Support,6074.146
10,ChainPrecedence25,SQLMiner + Support,6126.242
10,ChainPrecedence25,SQLMiner + Support,6085.349
10,ChainResponse25,SQLMiner + TraceInfo,897.734
10,ChainResponse25,SQLMiner + TraceInfo,890.133
10,ChainResponse25,SQLMiner + TraceInfo,894.85
10,ChainResponse25,SQLMiner + TraceInfo,902.605
10,ChainResponse25,SQLMiner + TraceInfo,895.58
10,AltPrecedence25,SQLMiner + Support,5190.428
10,AltPrecedence25,SQLMiner + Support,5081.822
10,AltPrecedence25,SQLMiner + Support,5105.433
10,AltPrecedence25,SQLMiner + Support,5114.113
10,AltPrecedence25,SQLMiner + Support,5106.719
10,NotSuccession25,SQLMiner + Support,395.798
10,NotSuccession25,SQLMiner + Support,395.031
10,NotSuccession25,SQLMiner + Support,393.118
10,NotSuccession25,SQLMiner + Support,395.393
10,NotSuccession25,SQLMiner + Support,396.232
10,Precedence25,SQLMiner + TraceInfo,259.287
10,Precedence25,SQLMiner + TraceInfo,255.863
10,Precedence25,SQLMiner + TraceInfo,258.691
10,Precedence25,SQLMiner + TraceInfo,255.11
10,Precedence25,SQLMiner + TraceInfo,261.158
10,Precedence25,SQLMiner + Support,19.77
10,Precedence25,SQLMiner + Support,19.407
10,Precedence25,SQLMiner + Support,19.713
10,Precedence25,SQLMiner + Support,19.339
10,Precedence25,SQLMiner + Support,19.213
10,NotSuccession25,SQLMiner + TraceInfo,351.772
10,NotSuccession25,SQLMiner + TraceInfo,349.574
10,NotSuccession25,SQLMiner + TraceInfo,349.374
10,NotSuccession25,SQLMiner + TraceInfo,350.299
10,NotSuccession25,SQLMiner + TraceInfo,351.293
100,ChainResponse25,SQLMiner + Support,34743.874
100,ChainResponse25,SQLMiner + Support,88836.299
100,ChainResponse25,SQLMiner + Support,82946.338
100,ChainResponse25,SQLMiner + Support,82528.824
100,ChainResponse25,SQLMiner + Support,83921.085
100,AltResponse25,SQLMiner + TraceInfo,132824.287
100,AltResponse25,SQLMiner + TraceInfo,131252.077
100,AltResponse25,SQLMiner + TraceInfo,135822.264
100,AltResponse25,SQLMiner + TraceInfo,148020.707
100,AltResponse25,SQLMiner + TraceInfo,132832.692
100,RespondedExistence25,SQLMiner + TraceInfo,1537.971
100,RespondedExistence25,SQLMiner + TraceInfo,1516.215
