E	E	A	D	E	D	E	C	C	C	
C	C	D	A	E	D	A	A	D	E	
A	B	B	A	D	A	C	D	B	D	
B	A	E	C	D	C	D	E	A	B	
D	A	C	C	D	B	D	E	D	D	
B	E	E	C	B	B	D	B	C	B	
B	E	C	A	D	A	E	B	D	A	
A	B	E	C	E	D	E	C	A	C	
D	D	A	C	A	A	B	E	E	A	
A	D	B	D	B	C	D	D	B	A	
A	E	E	E	C	B	B	D	A	C	
D	A	C	A	D	D	E	C	D	A	
E	C	B	A	C	C	A	B	D	D	
A	C	B	C	D	E	B	C	B	C	
B	D	E	E	A	D	D	C	B	D	
C	C	E	D	C	E	E	D	C	C	
C	E	B	A	E	A	C	A	C	D	
B	C	C	C	A	C	A	A	A	D	
A	B	B	E	D	C	E	E	B	B	
C	A	E	E	E	B	E	D	E	B	
D	B	A	E	D	D	E	C	A	D	
B	C	C	B	C	C	C	B	D	D	
E	E	E	B	A	E	C	C	D	D	
D	A	C	E	C	E	C	A	C	D	
C	E	B	D	E	C	D	B	B	D	
E	D	C	C	A	B	B	B	B	B	
A	E	A	E	E	B	A	D	C	B	
E	A	A	B	D	A	B	B	A	A	
C	C	D	E	C	D	A	E	B	C	
D	C	C	D	C	B	E	B	E	E	
C	B	C	B	C	D	E	B	B	D	
C	B	B	E	D	D	D	A	B	C	
D	D	A	B	A	C	A	B	A	B	
C	D	B	B	C	B	A	E	C	B	
A	A	C	B	A	D	C	D	A	B	
E	A	B	B	C	C	D	C	B	A	
B	D	E	C	A	B	A	B	B	A	
D	A	C	C	C	A	E	A	C	C	
A	C	C	E	B	C	D	A	A	D	
C	C	C	C	B	A	C	A	C	B	
C	B	B	D	E	C	B	D	D	D	
E	D	A	D	A	C	A	A	C	E	
B	E	E	A	B	D	A	E	A	B	
C	E	B	C	B	E	B	E	E	A	
A	D	A	D	B	E	C	C	B	A	
C	B	B	E	E	E	B	A	E	B	
C	C	D	D	B	B	C	E	C	B	
B	B	E	D	A	D	B	D	C	C	
A	C	D	A	C	B	C	C	C	B	
D	A	E	E	D	E	C	D	B	E	
A	E	B	A	D	A	B	A	A	D	
E	E	D	A	B	E	A	E	E	C	
A	A	B	C	B	C	B	C	C	A	
A	C	A	A	E	C	B	E	B	A	
C	E	E	D	D	A	E	D	C	E	
B	C	D	E	C	A	D	D	E	D	
D	C	A	A	B	E	A	E	E	E	
E	C	E	A	B	A	D	B	C	B	
E	C	E	A	B	B	D	B	E	E	
C	C	B	D	E	E	D	D	E	B	
C	C	C	D	A	B	A	E	B	B	
B	D	B	D	A	D	D	D	A	A	
E	D	D	C	E	C	A	C	E	D	
B	C	D	B	D	A	E	A	A	B	
A	D	B	E	A	C	B	C	B	C	
E	E	C	D	D	E	B	C	B	A	
D	B	D	D	A	B	B	E	A	D	
B	D	A	D	D	C	B	A	E	A	
D	E	B	A	A	A	D	D	D	B	
C	D	B	A	E	D	B	E	B	C	
A	D	D	B	C	D	A	B	A	D	
C	C	E	E	B	E	E	D	D	D	
A	E	C	E	A	D	A	D	C	C	
E	A	E	C	C	D	D	B	A	C	
B	B	E	D	A	E	A	E	C	A	
D	D	A	D	C	E	A	E	B	B	
D	E	D	A	A	D	C	D	B	A	
D	B	E	C	D	C	D	A	D	D	
C	E	D	C	A	C	D	B	A	E	
D	B	C	E	B	B	E	D	A	A	
C	A	D	C	D	D	A	A	E	C	
D	E	A	D	A	B	A	C	B	E	
B	E	E	B	E	A	B	D	E	C	
B	A	B	E	A	C	A	A	D	E	
B	B	D	D	E	E	D	C	D	E	
D	C	D	E	A	D	D	C	B	D	
C	B	E	B	A	B	B	E	C	B	
A	B	E	C	B	D	B	E	D	D	
C	A	D	A	A	D	C	B	D	E	
C	B	B	D	C	D	B	E	D	E	
A	D	E	A	B	C	D	A	B	C	
E	B	E	B	B	B	E	E	C	C	
D	B	B	E	A	B	B	A	A	B	
A	D	B	E	A	C	E	B	E	C	
A	A	A	B	A	A	C	D	B	D	
B	E	C	A	C	A	A	D	E	B	
E	A	A	D	C	B	A	E	E	E	
C	D	A	B	C	D	D	A	E	E	
C	B	A	B	A	E	B	A	D	A	
C	A	A	E	D	A	A	E	C	C	
