D	A	C	A	B	C	B	D	A	C	A	B	C	B	C	D	C	B	D	C	B	B	C	B	C	C	A	D	E	D	C	D	C	C	A	D	A	E	C	C	C	B	C	D	D	D	D	C	B	D	A	E	C	D	C	E	D	C	B	C	A	A	D	D	A	D	E	D	C	A	E	D	A	C	C	D	B	E	E	D	A	A	B	B	E	B	E	B	A	E	E	E	E	B	E	E	C	E	E	A	
C	A	D	A	E	B	B	B	E	E	A	B	D	D	C	D	C	A	B	B	A	C	A	C	E	A	C	C	C	B	C	C	E	A	E	D	C	B	D	A	B	C	E	C	E	D	E	D	D	E	E	B	C	A	D	D	E	C	C	E	A	B	D	E	A	E	D	D	D	E	E	A	E	D	A	C	B	C	B	E	A	D	A	A	A	A	D	D	C	C	D	A	B	D	E	C	C	C	D	E	
B	E	E	A	D	E	E	E	D	C	C	B	D	C	D	E	A	B	E	B	C	C	E	B	B	A	A	E	B	B	A	D	A	A	D	C	E	B	E	C	B	A	E	E	B	B	D	C	A	D	D	C	A	D	E	B	B	A	B	D	B	E	C	E	C	B	C	B	B	E	D	E	D	D	C	D	D	A	E	D	A	D	C	A	D	C	E	A	A	A	E	D	A	C	D	A	C	B	C	A	
E	C	C	B	C	D	E	A	B	B	D	A	B	C	C	B	A	D	E	E	A	E	C	C	A	B	D	B	A	B	A	E	C	B	D	B	B	B	A	B	D	A	C	E	D	A	C	B	E	E	C	A	A	A	B	C	E	C	C	E	B	E	B	C	D	A	C	D	B	D	B	C	C	D	D	E	D	A	D	C	D	A	D	A	B	C	A	D	D	C	B	C	B	A	D	D	E	B	C	B	
B	C	D	E	A	D	B	C	B	D	A	B	C	C	D	C	B	B	D	C	B	C	E	C	A	C	A	C	E	D	C	D	B	C	C	E	E	C	D	C	E	B	A	E	B	B	C	A	E	E	A	E	E	D	D	E	B	D	E	E	B	B	D	D	C	C	D	C	B	A	A	E	E	A	D	C	A	D	C	A	A	A	D	E	B	B	E	C	A	B	E	B	C	B	B	A	C	B	A	D	
B	A	E	B	D	E	B	D	C	B	E	D	B	D	C	C	D	A	A	E	D	D	A	C	D	E	B	D	D	B	C	B	B	A	B	C	E	D	C	E	B	C	B	C	C	D	C	A	C	B	A	A	E	B	D	C	D	A	D	B	E	E	B	A	D	D	D	E	B	E	D	A	C	C	E	C	B	D	C	B	E	E	A	A	D	A	A	A	D	E	A	C	B	B	C	E	B	B	C	C	
D	A	E	B	C	A	E	E	B	E	B	E	E	A	E	C	A	C	C	A	E	B	C	D	E	C	E	B	C	B	B	E	B	C	A	C	D	E	D	A	C	B	A	E	E	E	E	D	D	E	C	D	A	D	E	C	C	A	E	B	C	D	E	B	C	D	D	A	C	C	E	E	B	E	B	B	D	D	A	C	C	E	A	B	A	A	D	C	A	D	C	C	A	B	E	A	C	E	E	B	
C	A	C	D	A	C	C	E	C	D	B	A	B	A	E	D	C	A	D	C	A	C	A	C	C	C	A	A	C	E	B	A	B	D	B	D	B	C	A	E	E	C	A	A	C	B	D	E	E	C	D	E	C	C	D	E	E	A	C	E	A	B	C	C	C	E	A	D	A	B	C	B	C	A	C	C	C	E	D	A	A	B	E	C	D	D	C	B	B	B	A	E	E	C	E	A	C	C	C	A	
C	C	C	C	B	B	D	E	C	A	D	C	B	D	C	B	D	D	D	B	A	C	B	D	B	E	D	A	C	B	C	A	E	E	C	D	A	D	A	C	E	A	B	A	E	A	A	D	D	E	A	E	C	C	B	A	C	A	B	B	C	C	D	E	E	B	A	D	A	A	B	E	D	E	B	B	B	C	A	A	E	B	D	D	C	B	D	E	C	A	D	C	E	D	A	D	D	D	E	B	
A	E	B	B	B	B	C	C	C	C	A	D	C	C	A	D	C	E	C	A	A	B	A	A	C	A	A	E	D	C	E	E	E	A	C	B	E	E	A	E	B	C	E	B	A	A	D	D	A	E	E	D	D	B	A	E	C	A	A	C	A	B	C	E	E	D	A	C	B	C	E	A	C	C	D	D	B	E	A	E	B	C	B	D	B	A	A	D	B	D	B	E	B	A	A	C	E	C	B	D	
