log_filename,with_data,log_loading_and_parsing_ms,log_indexing_ms,n_traces,n_acts,log_trace_average_length,log_trace_variance,most_frequent_trace_length,trace_length_frequency,atomization_conf,atomization_type,model_filename,queries_plan,operators_version,model_parsing_ms,model_size,model_data_decomposition_time,model_atomization_time,model_declare_to_ltlf,model_ltlf_query_time,is_multithreaded,no_threads,scheduling_strategy,model_type
data/bpic_2012/data/original/bpi12_knobab.xes,F,1097.49,245.63,13087,25,21,399.223,94315791176360,94315808289296,scripts/intersection_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.590196,7,0.032278,0.008446,0.156458,39.5033,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1028.72,251.783,13087,25,21,399.223,94315791176360,94315808289296,scripts/intersection_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.160991,7,0.030006,0.008637,0.174109,38.7125,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1014.58,252.427,13087,25,21,399.223,94315791176360,94315808289296,scripts/intersection_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.161173,7,0.027244,0.008024,0.152343,40.8506,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1019.64,256.485,13087,25,21,399.223,94315791176360,94315808289296,scripts/intersection_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.160449,7,0.026444,0.00722,0.148344,38.7062,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1015.21,261.09,13087,25,21,399.223,94315791176360,94315808289296,scripts/intersection_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.148709,7,0.028019,0.008097,0.149958,38.1153,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1098.73,257.983,13087,25,21,399.223,94528013169320,94528030519824,scripts/support_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.669292,7,0.028576,0.007863,0.148355,43.8089,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1025.92,261.102,13087,25,21,399.223,94528013169320,94528030519824,scripts/support_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.16124,7,0.026947,0.007927,0.149558,43.0399,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1009.59,254.403,13087,25,21,399.223,94528013169320,94528030519824,scripts/support_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.160362,7,0.025631,0.008131,0.151513,40.5674,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1011.34,254.504,13087,25,21,399.223,94528013169320,94528030519824,scripts/support_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.162221,7,0.095801,0.027769,0.150252,43.4993,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1013.66,250.284,13087,25,21,399.223,94528013169320,94528030519824,scripts/support_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/5.powerdecl,marking,FastOperator_v1,0.167477,7,0.028146,0.008111,0.203765,42.2777,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1111.24,243.799,13087,25,21,399.223,94355557659304,94355592278544,scripts/intersection_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.716803,14,0.04172,0.016747,0.235361,118.621,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1040.93,260.477,13087,25,21,399.223,94355557659304,94355592278544,scripts/intersection_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.244347,14,0.08512,0.05354,0.282527,117.948,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1026.74,274.2,13087,25,21,399.223,94355557659304,94355592278544,scripts/intersection_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.24277,14,0.060615,0.017421,0.448707,117.729,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1030.23,252.98,13087,25,21,399.223,94355557659304,94355592278544,scripts/intersection_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.239067,14,0.041562,0.017635,0.264943,118.58,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1027.35,263.006,13087,25,21,399.223,94355557659304,94355592278544,scripts/intersection_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.242008,14,0.105758,0.050768,0.281276,120.172,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1115.41,243.607,13087,25,21,399.223,94784920179368,94784925422096,scripts/support_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.717102,14,0.042618,0.017604,0.273139,140.347,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1040.63,260.812,13087,25,21,399.223,94784920179368,94784925422096,scripts/support_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.24086,14,0.041693,0.036579,0.263044,142.974,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1024.98,249.775,13087,25,21,399.223,94784920179368,94784925422096,scripts/support_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.244204,14,0.04378,0.016542,0.280029,137.945,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1025.33,257.017,13087,25,21,399.223,94784920179368,94784925422096,scripts/support_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.242992,14,0.040438,0.016903,0.253799,140.62,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1031.53,255.454,13087,25,21,399.223,94784920179368,94784925422096,scripts/support_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/10.powerdecl,marking,FastOperator_v1,0.24092,14,0.067755,0.020668,0.281236,140.762,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1095.19,246.528,13087,25,21,399.223,94826003993256,94826026164752,scripts/intersection_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/15.powerdecl,marking,FastOperator_v1,0.887068,22,0.053253,0.028897,0.316381,167.779,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1036.53,260.448,13087,25,21,399.223,94826003993256,94826026164752,scripts/intersection_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/15.powerdecl,marking,FastOperator_v1,0.731735,22,0.08645,0.029416,0.385711,172.002,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1042.36,259.768,13087,25,21,399.223,94826003993256,94826026164752,scripts/intersection_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/15.powerdecl,marking,FastOperator_v1,0.358215,22,0.051219,0.028893,0.370213,165.801,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1026.97,267.212,13087,25,21,399.223,94826003993256,94826026164752,scripts/intersection_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/15.powerdecl,marking,FastOperator_v1,0.353935,22,0.052208,0.044682,0.416086,167.61,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1010.94,255.062,13087,25,21,399.223,94826003993256,94826026164752,scripts/intersection_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/15.powerdecl,marking,FastOperator_v1,0.399328,22,0.086963,0.04404,0.385333,168.863,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
data/bpic_2012/data/original/bpi12_knobab.xes,F,1102.01,242.614,13087,25,21,399.223,94254519558824,94254543352336,scripts/support_pipeline.yaml,AtomizeOnlyOnDataPredicates,data/bpic_2012/models/scenario_1/15.powerdecl,marking,FastOperator_v1,0.867251,22,0.053936,0.029854,0.32619,191.542,No,1,BLOCK_STATIC_SCHEDULE,SCENARIO_1
