Test,Type,Log_Size,Max_Trace_Length,Alphabet,Time
And,fast,1000,100,DACBE,0.500525
And,logic,1000,100,DACBE,16.1081
Or,fast,1000,100,DACBE,0.781712
Or,logic,1000,100,DACBE,15.8764
And_Future,fast_variant_1,1000,100,DACBE,2.82437
And_Future,fast_variant_2,1000,100,DACBE,3.18972
And_Future,logic,1000,100,DACBE,11.6192
And_Globally,fast_variant_1,1000,100,DACBE,0.170565
And_Globally,fast_variant_2,1000,100,DACBE,0.118844
And_Globally,logic,1000,100,DACBE,0.138139
Until,fast,1000,100,DACBE,0.168779
Until,logic,1000,100,DACBE,0.234976
Choice,fast,1000,100,DACBE,0.660728
Choice,logic,1000,100,DACBE,1.1955
And,fast,1000,100,DACBE,0.709598
And,logic,1000,100,DACBE,15.7876
Or,fast,1000,100,DACBE,0.662447
Or,logic,1000,100,DACBE,16.5056
And_Future,fast_variant_1,1000,100,DACBE,3.23855
And_Future,fast_variant_2,1000,100,DACBE,2.62309
And_Future,logic,1000,100,DACBE,10.4132
And_Globally,fast_variant_1,1000,100,DACBE,0.170578
And_Globally,fast_variant_2,1000,100,DACBE,0.138967
And_Globally,logic,1000,100,DACBE,0.140616
Until,fast,1000,100,DACBE,0.23885
Until,logic,1000,100,DACBE,0.258448
Choice,fast,1000,100,DACBE,1.03409
Choice,logic,1000,100,DACBE,1.42821
And,fast,1000,100,DACBE,0.700506
And,logic,1000,100,DACBE,16.3625
Or,fast,1000,100,DACBE,0.693781
Or,logic,1000,100,DACBE,15.8252
And_Future,fast_variant_1,1000,100,DACBE,2.88968
And_Future,fast_variant_2,1000,100,DACBE,2.61949
And_Future,logic,1000,100,DACBE,10.6202
And_Globally,fast_variant_1,1000,100,DACBE,0.269213
And_Globally,fast_variant_2,1000,100,DACBE,0.121676
And_Globally,logic,1000,100,DACBE,0.079918
Until,fast,1000,100,DACBE,0.164665
Until,logic,1000,100,DACBE,0.20196
Choice,fast,1000,100,DACBE,0.759433
Choice,logic,1000,100,DACBE,1.14679
And,fast,1000,100,DACBE,1.03665
And,logic,1000,100,DACBE,17.7816
Or,fast,1000,100,DACBE,0.746047
Or,logic,1000,100,DACBE,16.0976
And_Future,fast_variant_1,1000,100,DACBE,2.90447
And_Future,fast_variant_2,1000,100,DACBE,2.7869
And_Future,logic,1000,100,DACBE,10.6315
And_Globally,fast_variant_1,1000,100,DACBE,0.174764
And_Globally,fast_variant_2,1000,100,DACBE,0.102336
And_Globally,logic,1000,100,DACBE,0.14325
Until,fast,1000,100,DACBE,0.16576
Until,logic,1000,100,DACBE,0.201688
Choice,fast,1000,100,DACBE,0.690809
Choice,logic,1000,100,DACBE,1.17816
And,fast,1000,100,DACBE,0.678702
And,logic,1000,100,DACBE,16.6945
Or,fast,1000,100,DACBE,0.883835
Or,logic,1000,100,DACBE,16.4545
And_Future,fast_variant_1,1000,100,DACBE,3.23132
And_Future,fast_variant_2,1000,100,DACBE,2.86769
And_Future,logic,1000,100,DACBE,10.8318
And_Globally,fast_variant_1,1000,100,DACBE,0.173205
And_Globally,fast_variant_2,1000,100,DACBE,0.097874
And_Globally,logic,1000,100,DACBE,0.084169
