model_filename,atomization_conf,execution_time,model_type
data/bpic_2012/models/scenario_1/5.powerdecl,Declare Analyzer,12544,SCENARIO_1
data/bpic_2012/models/scenario_1/5.powerdecl,Declare Analyzer,12214,SCENARIO_1
data/bpic_2012/models/scenario_1/5.powerdecl,Declare Analyzer,12173,SCENARIO_1
data/bpic_2012/models/scenario_1/5.powerdecl,Declare Analyzer,12113,SCENARIO_1
data/bpic_2012/models/scenario_1/5.powerdecl,Declare Analyzer,12267,SCENARIO_1
data/bpic_2012/models/scenario_1/10.powerdecl,Declare Analyzer,13837,SCENARIO_1
data/bpic_2012/models/scenario_1/10.powerdecl,Declare Analyzer,14046,SCENARIO_1
data/bpic_2012/models/scenario_1/10.powerdecl,Declare Analyzer,14215,SCENARIO_1
data/bpic_2012/models/scenario_1/10.powerdecl,Declare Analyzer,14068,SCENARIO_1
data/bpic_2012/models/scenario_1/10.powerdecl,Declare Analyzer,14072,SCENARIO_1
data/bpic_2012/models/scenario_1/15.powerdecl,Declare Analyzer,15386,SCENARIO_1
data/bpic_2012/models/scenario_1/15.powerdecl,Declare Analyzer,15361,SCENARIO_1
data/bpic_2012/models/scenario_1/15.powerdecl,Declare Analyzer,15148,SCENARIO_1
data/bpic_2012/models/scenario_1/15.powerdecl,Declare Analyzer,15058,SCENARIO_1
data/bpic_2012/models/scenario_1/15.powerdecl,Declare Analyzer,15088,SCENARIO_1
data/bpic_2012/models/scenario_1/20.powerdecl,Declare Analyzer,17390,SCENARIO_1
data/bpic_2012/models/scenario_1/20.powerdecl,Declare Analyzer,17886,SCENARIO_1
data/bpic_2012/models/scenario_1/20.powerdecl,Declare Analyzer,17892,SCENARIO_1
data/bpic_2012/models/scenario_1/20.powerdecl,Declare Analyzer,17215,SCENARIO_1
data/bpic_2012/models/scenario_1/20.powerdecl,Declare Analyzer,17934,SCENARIO_1
data/bpic_2012/models/scenario_2/q1.powerdecl,Declare Analyzer,9782,SCENARIO_2
data/bpic_2012/models/scenario_2/q1.powerdecl,Declare Analyzer,9826,SCENARIO_2
data/bpic_2012/models/scenario_2/q1.powerdecl,Declare Analyzer,9986,SCENARIO_2
data/bpic_2012/models/scenario_2/q1.powerdecl,Declare Analyzer,9706,SCENARIO_2
data/bpic_2012/models/scenario_2/q1.powerdecl,Declare Analyzer,9864,SCENARIO_2
data/bpic_2012/models/scenario_2/q2.powerdecl,Declare Analyzer,10184,SCENARIO_2
data/bpic_2012/models/scenario_2/q2.powerdecl,Declare Analyzer,10169,SCENARIO_2
data/bpic_2012/models/scenario_2/q2.powerdecl,Declare Analyzer,10110,SCENARIO_2
data/bpic_2012/models/scenario_2/q2.powerdecl,Declare Analyzer,10085,SCENARIO_2
data/bpic_2012/models/scenario_2/q2.powerdecl,Declare Analyzer,10188,SCENARIO_2
data/bpic_2012/models/scenario_2/q3.powerdecl,Declare Analyzer,10237,SCENARIO_2
data/bpic_2012/models/scenario_2/q3.powerdecl,Declare Analyzer,10163,SCENARIO_2
data/bpic_2012/models/scenario_2/q3.powerdecl,Declare Analyzer,10496,SCENARIO_2
data/bpic_2012/models/scenario_2/q3.powerdecl,Declare Analyzer,10077,SCENARIO_2
data/bpic_2012/models/scenario_2/q3.powerdecl,Declare Analyzer,10071,SCENARIO_2
data/bpic_2012/models/scenario_2/q4.powerdecl,Declare Analyzer,10411,SCENARIO_2
data/bpic_2012/models/scenario_2/q4.powerdecl,Declare Analyzer,10249,SCENARIO_2
data/bpic_2012/models/scenario_2/q4.powerdecl,Declare Analyzer,10256,SCENARIO_2
data/bpic_2012/models/scenario_2/q4.powerdecl,Declare Analyzer,10198,SCENARIO_2
data/bpic_2012/models/scenario_2/q4.powerdecl,Declare Analyzer,10238,SCENARIO_2
data/bpic_2012/models/scenario_2/q5.powerdecl,Declare Analyzer,10168,SCENARIO_2
data/bpic_2012/models/scenario_2/q5.powerdecl,Declare Analyzer,10365,SCENARIO_2
data/bpic_2012/models/scenario_2/q5.powerdecl,Declare Analyzer,10147,SCENARIO_2
data/bpic_2012/models/scenario_2/q5.powerdecl,Declare Analyzer,10138,SCENARIO_2
data/bpic_2012/models/scenario_2/q5.powerdecl,Declare Analyzer,10191,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2.powerdecl,Declare Analyzer,10250,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2.powerdecl,Declare Analyzer,10374,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2.powerdecl,Declare Analyzer,10461,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2.powerdecl,Declare Analyzer,10372,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2.powerdecl,Declare Analyzer,10252,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2^q3^q4^q5.powerdecl,Declare Analyzer,11784,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2^q3^q4^q5.powerdecl,Declare Analyzer,11835,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2^q3^q4^q5.powerdecl,Declare Analyzer,11796,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2^q3^q4^q5.powerdecl,Declare Analyzer,11641,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2^q3^q4^q5.powerdecl,Declare Analyzer,11685,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2^q4.powerdecl,Declare Analyzer,10826,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2^q4.powerdecl,Declare Analyzer,10812,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2^q4.powerdecl,Declare Analyzer,10705,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2^q4.powerdecl,Declare Analyzer,10824,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2^q4.powerdecl,Declare Analyzer,10756,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2^q5.powerdecl,Declare Analyzer,10898,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2^q5.powerdecl,Declare Analyzer,10967,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2^q5.powerdecl,Declare Analyzer,10906,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2^q5.powerdecl,Declare Analyzer,10877,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q2^q5.powerdecl,Declare Analyzer,11101,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q3^q4.powerdecl,Declare Analyzer,10754,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q3^q4.powerdecl,Declare Analyzer,11010,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q3^q4.powerdecl,Declare Analyzer,10745,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q3^q4.powerdecl,Declare Analyzer,11067,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q3^q4.powerdecl,Declare Analyzer,10777,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q3^q5.powerdecl,Declare Analyzer,10987,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q3^q5.powerdecl,Declare Analyzer,10880,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q3^q5.powerdecl,Declare Analyzer,11035,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q3^q5.powerdecl,Declare Analyzer,10864,SCENARIO_2
data/bpic_2012/models/scenario_2/q1^q3^q5.powerdecl,Declare Analyzer,10787,SCENARIO_2
