log_filename,with_data,log_loading_and_parsing_ms,log_indexing_ms,n_traces,n_acts,log_trace_average_length,log_trace_variance,most_frequent_trace_length,trace_length_frequency,atomization_conf,atomization_type,model_filename,queries_plan,operators_version,model_parsing_ms,model_size,model_data_decomposition_time,model_atomization_time,model_declare_to_ltlf,model_ltlf_query_time,is_multithreaded,no_threads,scheduling_strategy
data/bpic_2011/data/10/log.xes,F,50.0576,2.57627,10,159,262,276896,3,1,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,Response,marking,FastOperator_v1,0,25,0.122744,0.003122,1.73711,9.9551,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2011/data/10/log.xes,F,45.0286,2.71924,10,159,262,276896,3,1,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,Response,marking,FastOperator_v1,0,25,0.042724,0.003171,1.65031,8.7871,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2011/data/10/log.xes,F,42.1522,3.3841,10,159,262,276896,3,1,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,Response,marking,FastOperator_v1,0,25,0.045155,0.003361,1.68833,8.96544,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2011/data/10/log.xes,F,40.2812,2.69041,10,159,262,276896,3,1,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,Response,marking,FastOperator_v1,0,25,0.042083,0.003548,1.78478,9.18593,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2011/data/10/log.xes,F,43.4121,2.70664,10,159,262,276896,3,1,scripts/maxsat_pipeline.yaml,AtomizeOnlyOnDataPredicates,Response,marking,FastOperator_v1,0,25,0.061234,0.00338,1.63529,8.72481,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2011/data/10/log.xes,F,50.3108,2.62747,10,159,262,276896,3,1,scripts/maxsat_pipeline_hybrid.yaml,AtomizeOnlyOnDataPredicates,Response,marking,Hybrid,0,25,0.061575,0.003331,1.73132,5.99716,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2011/data/10/log.xes,F,45.2367,2.75824,10,159,262,276896,3,1,scripts/maxsat_pipeline_hybrid.yaml,AtomizeOnlyOnDataPredicates,Response,marking,Hybrid,0,25,0.042634,0.003128,1.68041,5.22344,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2011/data/10/log.xes,F,41.0431,2.66199,10,159,262,276896,3,1,scripts/maxsat_pipeline_hybrid.yaml,AtomizeOnlyOnDataPredicates,Response,marking,Hybrid,0,25,0.042615,0.00323,1.64518,5.25304,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2011/data/10/log.xes,F,43.2241,2.7752,10,159,262,276896,3,1,scripts/maxsat_pipeline_hybrid.yaml,AtomizeOnlyOnDataPredicates,Response,marking,Hybrid,0,25,0.042092,0.003237,1.71436,4.94438,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2011/data/10/log.xes,F,41.0136,2.72013,10,159,262,276896,3,1,scripts/maxsat_pipeline_hybrid.yaml,AtomizeOnlyOnDataPredicates,Response,marking,Hybrid,0,25,0.042207,0.003276,1.7605,5.21291,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2011/data/10/log.xes,F,51.5107,2.64883,10,159,262,276896,3,1,scripts/support_pipeline.yaml,AtomizeOnlyOnDataPredicates,Response,marking,FastOperator_v1,0,25,0.040855,0.003295,1.62413,10.6444,No,1,BLOCK_STATIC_SCHEDULE
data/bpic_2011/data/10/log.xes,F,46.6044,2.7976,10,159,262,276896,3,1,scripts/support_pipeline.yaml,AtomizeOnlyOnDataPredicates,Response,marking,FastOperator_v1,0,25,0.109256,0.003228,1.71898,8.81442,No,1,BLOCK_STATIC_SCHEDULE
