filename,GraphGenerationTime,GraphVisitTime,SerialisationTime,Total,AtomSize,minL,maxL,S
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.647148,0.333138,78.4746,79.4549,19,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.64771,0.3297,0.049578,1.02699,19,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.649012,0.46496,0.055952,1.16992,19,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.63505,0.320329,0.041255,0.996634,19,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.677668,0.323933,0.040629,1.04223,19,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.54714,0.704966,57.8584,63.1105,20,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.7943,0.664128,0.061883,5.52031,20,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.44092,0.653293,0.057652,5.15186,20,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.57928,0.64525,0.050015,5.27455,20,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.66341,0.639093,0.049593,5.35209,20,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.5112,0.784001,51.4816,65.7767,23,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.4355,0.781852,1.63822,15.8555,23,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.3441,0.784451,1.65384,15.7823,23,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.488,0.772683,1.65848,15.9192,23,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.0032,0.767929,1.62798,15.3991,23,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,65.9235,2.17105,34.2193,102.314,32,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,68.2268,2.18339,0.107258,70.5175,32,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,65.6058,2.21575,0.100202,67.9218,32,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,67.6924,2.1881,0.111212,69.9917,32,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,68.4296,2.17007,0.097164,70.6969,32,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,232.074,8.62648,53.4851,294.186,35,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,234.544,8.52183,13.6157,256.682,35,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,229.502,8.31619,13.4864,251.305,35,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,234.846,8.30285,13.4773,256.627,35,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,233.476,8.55541,13.782,255.814,35,10,10,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.634795,0.452225,0.134085,1.2211,19,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.641233,0.506152,0.104111,1.2515,19,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.614384,0.44887,0.077205,1.14046,19,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.674662,0.466539,0.094443,1.23564,19,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.637925,0.45043,0.044522,1.13288,19,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.42253,0.786505,0.114707,5.32374,20,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.60111,0.809829,0.102411,5.51335,20,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.43887,0.808469,0.093351,5.34069,20,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.51467,0.759334,0.108137,5.38215,20,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.48077,0.802537,0.05543,5.33874,20,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.3186,0.957162,5.35321,19.629,23,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.6166,0.871298,5.41552,19.9034,23,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.1751,0.905499,5.59939,19.68,23,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.8754,0.995768,5.76379,20.6349,23,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.5295,0.966623,5.78165,20.2778,23,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,70.1612,2.31903,0.153479,72.6337,32,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,71.0193,2.29719,0.203733,73.5202,32,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,71.1983,2.32228,0.186735,73.7074,32,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,70.4825,2.33868,0.110876,72.932,32,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,68.0346,2.29716,0.109422,70.4412,32,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,242.367,8.75391,137.775,388.896,35,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,239.363,8.32422,132.643,380.33,35,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,235.141,8.47258,134.053,377.666,35,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,236.333,8.54506,135.99,380.867,35,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,235.43,8.61346,133.142,377.186,35,100,100,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.663465,1.4616,0.146222,2.27129,19,1000,1000,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.649166,1.48394,0.048622,2.18173,19,1000,1000,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.632765,1.49225,0.090176,2.21519,19,1000,1000,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.626893,1.48057,0.069629,2.17709,19,1000,1000,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.63002,1.51442,0.03961,2.18405,19,1000,1000,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.45988,1.69451,0.099598,6.25398,20,1000,1000,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.53575,1.86895,0.087544,6.49224,20,1000,1000,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.48742,1.71417,0.055137,6.25673,20,1000,1000,10
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.46789,1.71457,0.103502,6.28597,20,1000,1000,10
