algorithm,model_size,GraphGenerationTime,GraphVisitTime,SerialisationTime,Total,AtomSize,minL,maxL,S
Proposed (dataless),2,0.488503,0.259305,0.069757,0.817565,16,10,10,10
Proposed (dataless),2,0.465598,0.214807,0.070796,0.751201,16,10,10,10
Proposed (dataless),2,0.46558,0.211155,0.065879,0.742614,16,10,10,10
Proposed (dataless),2,0.525527,0.238425,0.213652,0.977604,16,10,10,10
Proposed (dataless),2,0.461131,0.215653,0.132652,0.809436,16,10,10,10
Proposed (dataless),4,2.92056,0.47536,0.058198,3.45411,16,10,10,10
Proposed (dataless),4,2.99373,0.476909,0.032203,3.50285,16,10,10,10
Proposed (dataless),4,2.9192,0.474843,0.028963,3.42301,16,10,10,10
Proposed (dataless),4,2.99794,0.491354,0.02898,3.51827,16,10,10,10
Proposed (dataless),4,2.88944,0.552147,0.026422,3.46801,16,10,10,10
Proposed (dataless),6,6.53408,0.564555,0.13404,7.23267,16,10,10,10
Proposed (dataless),6,6.76471,0.596271,0.094076,7.45506,16,10,10,10
Proposed (dataless),6,6.80139,0.638791,0.108459,7.54864,16,10,10,10
Proposed (dataless),6,6.83442,0.584269,0.095894,7.51458,16,10,10,10
Proposed (dataless),6,6.62826,0.62818,0.096961,7.3534,16,10,10,10
Proposed (dataless),8,16.7859,1.10638,0.124404,18.0167,16,10,10,10
Proposed (dataless),8,17.7352,1.09563,0.1147,18.9455,16,10,10,10
Proposed (dataless),8,17.9585,1.1119,0.110453,19.1808,16,10,10,10
Proposed (dataless),8,17.217,1.0574,0.122104,18.3965,16,10,10,10
Proposed (dataless),8,18.0689,1.04151,0.108203,19.2187,16,10,10,10
Proposed (dataless),10,47.0829,1.49856,0.104873,48.6863,16,10,10,10
Proposed (dataless),10,48.847,1.47606,0.129432,50.4525,16,10,10,10
Proposed (dataless),10,47.9271,1.4699,0.135668,49.5327,16,10,10,10
Proposed (dataless),10,54.6524,2.07183,0.204845,56.9291,16,10,10,10
Proposed (dataless),10,49.2979,1.50672,0.121746,50.9264,16,10,10,10
Proposed (dataless),2,0.478051,0.345206,0.086506,0.909763,16,100,100,10
Proposed (dataless),2,0.453885,0.327141,0.083733,0.864759,16,100,100,10
Proposed (dataless),2,0.458912,0.329604,0.096037,0.884553,16,100,100,10
Proposed (dataless),2,0.467275,0.337118,0.072089,0.876482,16,100,100,10
Proposed (dataless),2,0.534815,0.327925,0.075423,0.938163,16,100,100,10
Proposed (dataless),4,3.06196,0.551537,0.023761,3.63725,16,100,100,10
Proposed (dataless),4,2.97194,0.548152,0.023695,3.54379,16,100,100,10
Proposed (dataless),4,2.87231,0.551292,0.022992,3.44659,16,100,100,10
Proposed (dataless),4,2.89182,0.542784,0.023399,3.45801,16,100,100,10
Proposed (dataless),4,2.93989,0.554052,0.022584,3.51653,16,100,100,10
Proposed (dataless),6,6.40718,0.636288,0.102492,7.14596,16,100,100,10
Proposed (dataless),6,6.58227,0.69859,0.135533,7.41639,16,100,100,10
Proposed (dataless),6,6.78993,0.705144,0.09914,7.59421,16,100,100,10
Proposed (dataless),6,6.76952,0.679489,0.103163,7.55217,16,100,100,10
Proposed (dataless),6,6.84215,0.70962,0.146396,7.69816,16,100,100,10
Proposed (dataless),8,17.28,1.23106,0.152128,18.6632,16,100,100,10
Proposed (dataless),8,17.6826,1.12393,0.139835,18.9464,16,100,100,10
Proposed (dataless),8,18.7942,1.32643,0.151234,20.2719,16,100,100,10
Proposed (dataless),8,18.8978,1.16896,0.14013,20.2069,16,100,100,10
