model_size,algorithm,GraphGenerationTime,GraphVisitTime,SerialisationTime,Total,AtomSize,minL,maxL,S,Vsize,Esize
2,Proposed (dataless),0.49431,0.20979,-1,0.7041,16,10,10,10,34,485
2,Proposed (dataless),0.537592,0.21622,-1,0.753812,16,10,10,10,34,485
2,Proposed (dataless),0.543731,0.207183,-1,0.750914,16,10,10,10,34,485
2,Proposed (dataless),0.492091,0.200376,-1,0.692467,16,10,10,10,34,485
2,Proposed (dataless),0.485226,0.197555,-1,0.682781,16,10,10,10,34,485
4,Proposed (dataless),3.24098,0.492958,-1,3.73394,16,10,10,10,231,3025
4,Proposed (dataless),2.94664,0.474663,-1,3.42131,16,10,10,10,231,3025
4,Proposed (dataless),2.95729,0.469611,-1,3.42691,16,10,10,10,231,3025
4,Proposed (dataless),3.06025,0.503537,-1,3.56379,16,10,10,10,231,3025
4,Proposed (dataless),3.06681,0.47326,-1,3.54007,16,10,10,10,231,3025
6,Proposed (dataless),6.78983,0.543546,-1,7.33338,16,10,10,10,248,3136
6,Proposed (dataless),6.44727,0.549365,-1,6.99663,16,10,10,10,248,3136
6,Proposed (dataless),6.72752,0.57765,-1,7.30517,16,10,10,10,248,3136
6,Proposed (dataless),6.64808,0.556038,-1,7.20412,16,10,10,10,248,3136
6,Proposed (dataless),6.7758,0.550158,-1,7.32596,16,10,10,10,248,3136
8,Proposed (dataless),16.3626,0.984099,-1,17.3467,16,10,10,10,822,9790
8,Proposed (dataless),16.46,1.02535,-1,17.4853,16,10,10,10,822,9790
8,Proposed (dataless),16.6719,0.961995,-1,17.6339,16,10,10,10,822,9790
8,Proposed (dataless),16.4844,0.980431,-1,17.4648,16,10,10,10,822,9790
8,Proposed (dataless),16.7214,1.02621,-1,17.7476,16,10,10,10,822,9790
10,Proposed (dataless),44.0686,1.28406,-1,45.3527,16,10,10,10,1668,18950
10,Proposed (dataless),44.1604,1.2829,-1,45.4433,16,10,10,10,1668,18950
10,Proposed (dataless),43.749,1.32571,-1,45.0747,16,10,10,10,1668,18950
10,Proposed (dataless),46.4953,1.37779,-1,47.873,16,10,10,10,1668,18950
10,Proposed (dataless),43.2128,1.41177,-1,44.6245,16,10,10,10,1668,18950
2,Proposed (dataless),0.480204,0.317503,-1,0.797707,16,100,100,10,34,485
2,Proposed (dataless),0.530845,0.320418,-1,0.851263,16,100,100,10,34,485
2,Proposed (dataless),0.485599,0.325015,-1,0.810614,16,100,100,10,34,485
2,Proposed (dataless),0.483298,0.316264,-1,0.799562,16,100,100,10,34,485
2,Proposed (dataless),0.565976,0.323684,-1,0.88966,16,100,100,10,34,485
4,Proposed (dataless),2.87512,0.694002,-1,3.56912,16,100,100,10,231,3025
4,Proposed (dataless),3.02114,0.550058,-1,3.57119,16,100,100,10,231,3025
4,Proposed (dataless),2.87704,0.567197,-1,3.44423,16,100,100,10,231,3025
4,Proposed (dataless),2.98812,0.54917,-1,3.53729,16,100,100,10,231,3025
4,Proposed (dataless),3.07758,0.54797,-1,3.62555,16,100,100,10,231,3025
6,Proposed (dataless),6.39995,0.637175,-1,7.03713,16,100,100,10,248,3136
6,Proposed (dataless),6.47347,0.700373,-1,7.17384,16,100,100,10,248,3136
6,Proposed (dataless),6.88798,0.684185,-1,7.57217,16,100,100,10,248,3136
6,Proposed (dataless),6.35896,0.631636,-1,6.99059,16,100,100,10,248,3136
6,Proposed (dataless),6.55204,0.64786,-1,7.1999,16,100,100,10,248,3136
8,Proposed (dataless),16.6413,1.07679,-1,17.7181,16,100,100,10,822,9790
8,Proposed (dataless),16.2503,1.06355,-1,17.3138,16,100,100,10,822,9790
8,Proposed (dataless),16.968,1.14935,-1,18.1173,16,100,100,10,822,9790
8,Proposed (dataless),16.2201,1.05497,-1,17.2751,16,100,100,10,822,9790
8,Proposed (dataless),16.089,1.05703,-1,17.146,16,100,100,10,822,9790
10,Proposed (dataless),45.6361,1.38478,-1,47.0208,16,100,100,10,1668,18950
10,Proposed (dataless),43.4631,1.33915,-1,44.8022,16,100,100,10,1668,18950
10,Proposed (dataless),44.5605,1.36595,-1,45.9264,16,100,100,10,1668,18950
10,Proposed (dataless),45.5548,1.40981,-1,46.9646,16,100,100,10,1668,18950
10,Proposed (dataless),47.1159,1.41138,-1,48.5272,16,100,100,10,1668,18950
2,Proposed (dataless),0.539698,1.24584,-1,1.78554,16,1000,1000,10,34,485
2,Proposed (dataless),0.475376,1.16042,-1,1.6358,16,1000,1000,10,34,485
2,Proposed (dataless),0.595171,1.23555,-1,1.83072,16,1000,1000,10,34,485
2,Proposed (dataless),0.483227,1.19644,-1,1.67967,16,1000,1000,10,34,485
2,Proposed (dataless),0.523532,1.19731,-1,1.72084,16,1000,1000,10,34,485
4,Proposed (dataless),2.95404,1.26577,-1,4.21981,16,1000,1000,10,231,3025
4,Proposed (dataless),2.93659,1.28629,-1,4.22288,16,1000,1000,10,231,3025
4,Proposed (dataless),3.07504,1.22826,-1,4.30329,16,1000,1000,10,231,3025
4,Proposed (dataless),2.94256,1.37201,-1,4.31457,16,1000,1000,10,231,3025
4,Proposed (dataless),3.02771,1.24879,-1,4.27649,16,1000,1000,10,231,3025
6,Proposed (dataless),6.66501,1.73416,-1,8.39917,16,1000,1000,10,248,3136
6,Proposed (dataless),6.71187,1.26688,-1,7.97874,16,1000,1000,10,248,3136
6,Proposed (dataless),6.38712,1.36528,-1,7.7524,16,1000,1000,10,248,3136
6,Proposed (dataless),6.5483,1.31106,-1,7.85936,16,1000,1000,10,248,3136
6,Proposed (dataless),6.48549,1.29725,-1,7.78274,16,1000,1000,10,248,3136
8,Proposed (dataless),17.5185,1.68556,-1,19.2041,16,1000,1000,10,822,9790
8,Proposed (dataless),18.0389,1.80777,-1,19.8466,16,1000,1000,10,822,9790
8,Proposed (dataless),17.829,1.74898,-1,19.578,16,1000,1000,10,822,9790
8,Proposed (dataless),17.4075,1.77329,-1,19.1808,16,1000,1000,10,822,9790
8,Proposed (dataless),18.1542,1.86765,-1,20.0218,16,1000,1000,10,822,9790
10,Proposed (dataless),47.5018,2.19959,-1,49.7013,16,1000,1000,10,1668,18950
10,Proposed (dataless),47.8601,2.11906,-1,49.9792,16,1000,1000,10,1668,18950
10,Proposed (dataless),50.6929,2.17997,-1,52.8729,16,1000,1000,10,1668,18950
10,Proposed (dataless),48.8505,2.17055,-1,51.021,16,1000,1000,10,1668,18950
10,Proposed (dataless),43.9323,1.94957,-1,45.8818,16,1000,1000,10,1668,18950
2,Proposed (dataless),0.476688,13.6333,-1,14.11,16,10000,10000,10,34,485
2,Proposed (dataless),0.481964,13.927,-1,14.4089,16,10000,10000,10,34,485
2,Proposed (dataless),0.485447,13.6956,-1,14.181,16,10000,10000,10,34,485
2,Proposed (dataless),0.608506,13.5841,-1,14.1926,16,10000,10000,10,34,485
2,Proposed (dataless),0.594539,14.1253,-1,14.7198,16,10000,10000,10,34,485
4,Proposed (dataless),3.10933,9.06926,-1,12.1786,16,10000,10000,10,231,3025
4,Proposed (dataless),3.02511,8.96694,-1,11.9921,16,10000,10000,10,231,3025
4,Proposed (dataless),3.03826,8.86043,-1,11.8987,16,10000,10000,10,231,3025
4,Proposed (dataless),3.01197,9.17923,-1,12.1912,16,10000,10000,10,231,3025
4,Proposed (dataless),3.12371,8.90566,-1,12.0294,16,10000,10000,10,231,3025
6,Proposed (dataless),6.56821,8.28139,-1,14.8496,16,10000,10000,10,248,3136
6,Proposed (dataless),6.49484,8.03103,-1,14.5259,16,10000,10000,10,248,3136
6,Proposed (dataless),6.41262,7.98819,-1,14.4008,16,10000,10000,10,248,3136
6,Proposed (dataless),6.3289,7.95658,-1,14.2855,16,10000,10000,10,248,3136
6,Proposed (dataless),6.42704,7.93212,-1,14.3592,16,10000,10000,10,248,3136
8,Proposed (dataless),17.0127,7.3891,-1,24.4018,16,10000,10000,10,822,9790
